"","business_id","full_address","open","city","review_count","name","longitude","state","stars","latitude","Take-out","Noise Level","Delivery","Has TV","Outdoor Seating","Attire","Accepts Credit Cards","Price Range","Smoking","Wi-Fi","Suggest_For","Environment","Parkingcondition","Musiccondition"
"375","f0eAe5PZMy_MEvxEEBYAcQ","1717 Cochran Rd
Pittsburgh, PA 15220",TRUE,"Pittsburgh",8,"Starbucks",-80.0662223,"PA",4.5,40.3923379,"TRUE","No Record","No Record","No Record","FALSE","No Record","TRUE","2","No Record","free","No Record","No Record","Can parking","No Record"
"376","sNmQJQWEVGheCnw5Tf4Phg","1900 Greentree Rd
Pittsburgh, PA 15220",TRUE,"Pittsburgh",18,"Panera Bread",-80.067397,"PA",3.5,40.395932,"TRUE","quiet","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","free","breakfast","Not Mentioned","Can parking","No Record"
"381","jrSGpWnVJy8jqgN6XSC7Nw","1006 Greentree Rd
Greentree
Pittsburgh, PA 15220",TRUE,"Pittsburgh",15,"Aracri's Greentree Inn",-80.0454066,"PA",3.5,40.4168413,"TRUE","quiet","FALSE","TRUE","FALSE","casual","TRUE","3","No Record","no","lunch","Not Mentioned","No Record","No Record"
"383","EtnMSBRlMQWrdTla-jz9RA","412 Greentree Rd
West End
Pittsburgh, PA 15220",TRUE,"Pittsburgh",4,"Tramp's Restaurant",-80.0340934,"PA",3.5,40.4356718,"TRUE","loud","FALSE","TRUE","FALSE","casual","TRUE","1","No Record","free","Not Mentioned","Not Mentioned","No parking","No Record"
"384","KZXtzoI84iI1CEcAnD7OPA","333 Mansfield Ave
Greentree
Pittsburgh, PA 15220",TRUE,"Pittsburgh",52,"Vincent's of Greentree",-80.0501069553832,"PA",3.5,40.4210420362253,"TRUE","average","TRUE","TRUE","TRUE","casual","TRUE","2","No Record","free","dinner","casual","Can parking","No Record"
"385","zhQzX3CxM0tdBXwGUWmxGA","1178 Steuben St
Crafton Heights
Pittsburgh, PA 15220",TRUE,"Pittsburgh",32,"Better-Maid Donut",-80.0478244,"PA",4.5,40.4415878,"TRUE","No Record","FALSE","No Record","No Record","No Record","FALSE","1","No Record","No Record","No Record","No Record","Can parking","No Record"
"389","zpNGtjBlIkDq_PLGSCPlAg","971 Greentree Road
Greentree
Pittsburgh, PA 15220",TRUE,"Pittsburgh",29,"Olive Garden Italian Restaurant",-80.0456525,"PA",3.5,40.4198341,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","no","no","lunch","casual","Can parking","No Music"
"393","ZS7-I04iDm4oRP_GJsJqrA","978 Greentree Rd
Greentree
Pittsburgh, PA 15220",TRUE,"Pittsburgh",9,"Boston Market",-80.0460082,"PA",3.5,40.418092,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","free","lunch","Not Mentioned","Can parking","No Record"
"394","xSYGuHecEWP7At0HYbO5Jg","979 Greentree Rd
Greentree
Pittsburgh, PA 15220",TRUE,"Pittsburgh",14,"Einstein Bros Bagels",-80.0454038,"PA",2.5,40.4184713,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","Can parking","No Record"
"395","7ijQJV72aBrEoJCtTBCHxw","7 Market Sq
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",20,"Starbucks",-80.0021709,"PA",3.5,40.44021,"TRUE","No Record","No Record","No Record","TRUE","No Record","TRUE","2","No Record","free","No Record","No Record","Can parking","No Record"
"401","FtjvnLhh51ZBYEpKAARaFQ","203 Federal St
North Side
Pittsburgh, PA 15212",TRUE,"Pittsburgh",94,"Soho",-80.0043186,"PA",3,40.4483207,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","free","latenight","casual","Can parking","No Record"
"402","z4cCguoHdU48pj6sXMIzqg","1001 Liberty Ave
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",76,"Original Fish Market",-79.994852,"PA",2.5,40.4441681,"TRUE","quiet","FALSE","TRUE","TRUE","casual","TRUE","3","No Record","free","dinner","Not Mentioned","Can parking","No Record"
"404","sbTF0cLKZH6_BP8BLARVDg","123 7th St
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",29,"Bossa Nova",-80.0006057,"PA",2.5,40.4439388,"No Record","loud","FALSE","FALSE","TRUE","casual","TRUE","3","yes","No Record","latenight","Not Mentioned","Can parking","No Record"
"406","OxIeMVcop5oxBUWANi-1Rw","140 6th St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",202,"Olive or Twist",-80.0025614,"PA",3.5,40.4429033,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","outdoor","free","latenight, dinner","trendy","Can parking","No Music"
"407","imzKM9-mgN1Yk_RIXx3IgA","1901 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",27,"Sunseri Jimmy & Nino",-79.984628,"PA",4,40.450964,"TRUE","average","FALSE","FALSE","TRUE","casual","TRUE","1","No Record","no","lunch","divey","Can parking","No Record"
"410","IEHaU93HpEbdUO4z4bKzDw","100 24th St
Strip District
Pittsburgh, PA 15222",FALSE,"Pittsburgh",18,"Jo Jo's Restaurant",-79.9814643,"PA",3.5,40.4540368,"TRUE","No Record","FALSE","No Record","FALSE","casual","FALSE","1","No Record","No Record","breakfast","Not Mentioned","Can parking","No Record"
"411","9D4PMia-8WqCYXnr7TM0Pw","1727 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",20,"Labad's",-79.9854415,"PA",4.5,40.4503157,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","Can parking","No Record"
"414","NeUf9FyCCIN4MEseNyqkXQ","2 South Market Sq
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",463,"Primanti Bros.",-80.002585,"PA",3.5,40.440287,"TRUE","loud","FALSE","TRUE","TRUE","casual","TRUE","1","no","free","lunch","casual","Can parking","No Music"
"415","JcP-IIrZkW_Yyv4a0yLRCw","305 7th Ave
Carnegie
Pittsburgh, PA 15222",FALSE,"Pittsburgh",10,"Monte Cello's Downtown",-80.0930463,"PA",3,40.4077836,"TRUE","No Record","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","No Record","lunch","Not Mentioned","No Record","No Record"
"416","4LcFKTr6Ah87VcxW2z5e6w","608 Wood St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",7,"McDonald's",-79.9989455,"PA",2,40.4422917,"TRUE","very_loud","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","free","Not Mentioned","Not Mentioned","No parking","No Record"
"417","buVALudg30kgkDusqB3yJw","2023 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",88,"Reyna Foods",-79.9834035,"PA",4,40.4514856,"TRUE","average","FALSE","FALSE","TRUE","casual","TRUE","1","No Record","no","lunch","casual","Can parking","No Record"
"418","wHi8ODv7TGmeUB02XoX-mA","1904 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",219,"Roland's Seafood Grill",-79.9842832,"PA",2.5,40.4505899,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","no","lunch","casual","Can parking","No Record"
"420","J7I85lTCEGr9-qp6AXPUjQ","23 Market Sq
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",66,"Nicholas Coffee",-80.0030696,"PA",4,40.441253,"TRUE","No Record","No Record","No Record","TRUE","No Record","TRUE","1","No Record","no","No Record","No Record","Can parking","No Record"
"421","WXpi9z1bqF9raZSW8z70Ow","133 6th St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",44,"Salonika Gyros",-80.0021285,"PA",3.5,40.4432077,"TRUE","loud","FALSE","TRUE","FALSE","casual","TRUE","1","No Record","No Record","lunch","casual","Can parking","No Record"
"423","j7kgLc4Uys_sb-H7_Velcg","1001 Liberty Ave
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",5,"Brown Bag Delis",-79.9946687,"PA",2,40.4442087,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","No Record","Not Mentioned","Not Mentioned","No parking","No Record"
"424","DhDNNHZtaBxYNSqJz64ixg","4 Market Sq
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",29,"La Gondola Pizzeria & Restaurant",-80.0025144,"PA",4.5,40.4400655,"TRUE","average","TRUE","FALSE","TRUE","casual","TRUE","1","No Record","no","lunch","casual","No parking","No Record"
"425","PxP19Rb88OQKiSMl2oWNsg","130 6th St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",71,"Christos Mediterranean Grille",-80.0022544158648,"PA",3,40.4432466658259,"TRUE","quiet","FALSE","FALSE","TRUE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"426","9mwShpTgZofOujt4JfyGmw","2601 Smallman St
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",97,"Spaghetti Warehouse",-79.979271,"PA",2.5,40.455916,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"429","90Fqfzd8zD9AuuNBSv9lAg","625 Liberty Ave
Ste 180
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",68,"Morton's The Steakhouse",-80.0008723139762,"PA",4,40.4423828265526,"TRUE","quiet","TRUE","FALSE","FALSE","dressy","TRUE","4","No Record","free","dinner","classy","Can parking","No Record"
"430","DHAq_WmQwjk7gviKXwqnjg","1735 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",19,"New Sambok Oriental Foods",-79.9852163,"PA",4,40.4504367,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","Can parking","No Record"
"431","pfS0Bd-sXZyMNr73kJPeaw","603 Stanwix St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",4,"Gateway Center Cafeteria",-80.0044807,"PA",4,40.442222,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","1","No Record","no","Not Mentioned","Not Mentioned","No parking","No Record"
"433","shrMOQmX_SX-KualwYoAzA","535 Smithfield St
Oliver Bldg
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",7,"Au Bon Pain Co",-79.9980174,"PA",3,40.4413521,"No Record","No Record","FALSE","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","No parking","No Record"
"437","KEzIorUdFjqCuxbRxKPghA","433 Wood St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",9,"Mamma Lucia Pizza",-80.0010018,"PA",4,40.4403955,"TRUE","quiet","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","no","lunch","Not Mentioned","No parking","No Record"
"440","pvGT62T6Ci1LKOS9DL42pg","12 Smithfield St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",24,"Peppi's",-80.0004543,"PA",4,40.436969,"TRUE","loud","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","No Record","lunch","divey","Can parking","No Record"
"441","SWzCFTM7KHc-MncD6xxOYQ","205 21st St
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",88,"La Prima Espresso Co",-79.9828538,"PA",4.5,40.4514869,"TRUE","No Record","No Record","No Record","TRUE","No Record","TRUE","1","No Record","no","No Record","No Record","Can parking","No Record"
"442","FsY-8nYOCXyj9FoVxbjzTQ","1740 Eckert St.
North Side
Pittsburgh, PA 15212",FALSE,"Pittsburgh",6,"Pegasus Lounge",-80.037607,"PA",3,40.471965,"No Record","No Record","No Record","TRUE","FALSE","No Record","TRUE","2","no","No Record","No Record","No Record","No parking","dj"
"445","DAOt75CziuEyRyEH2hQ2JQ","5th Avenue Pl
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",5,"Fifth Avenue Beanery",-80.003333,"PA",3.5,40.441944,"No Record","No Record","No Record","No Record","TRUE","No Record","FALSE","1","No Record","no","No Record","No Record","No parking","No Record"
"446","OT3yVpDrDVITDCIYox8d9A","20 Stanwix St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",6,"Buon Giorno Cafe",-80.005135,"PA",3.5,40.43866,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","2","No Record","No Record","lunch","Not Mentioned","No parking","No Record"
"447","lVB0HB2PxC9OTtMcz0wagA","1649 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",71,"Lotus Food",-79.986418,"PA",4,40.449767,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","Can parking","No Record"
"450","8AskFIgGxqNb8RbcDCAfmA","441 Smithfield St
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",8,"Madonna's Restaurant",-79.99920129776,"PA",4,40.4395902449355,"TRUE","loud","FALSE","FALSE","FALSE","casual","FALSE","1","No Record","no","lunch","casual","Can parking","No Record"
"451","A2XkbJ07hrR80t0EFgLikQ","639 Smithfield St
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",17,"Smithfield Cafe",-79.997214,"PA",3.5,40.442558,"TRUE","quiet","FALSE","TRUE","FALSE","casual","TRUE","1","No Record","no","lunch","Not Mentioned","Can parking","No Record"
"453","3jPNfiRYdu-tlJM4OGF3og","1001 Liberty Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",3,"Cool Beans Coffee",-79.9946687,"PA",3,40.4442087,"No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record"
"455","L5387MoRyx9orlRyYfCSPA","1711 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",44,"Andy's Sushi Bar",-79.9858749,"PA",4,40.450111,"TRUE","loud","FALSE","FALSE","FALSE","casual","TRUE","2","No Record","no","lunch","casual","Can parking","No Record"
"456","8BUJXN2fU15kclyTA3KhAw","1642 Penn Ave
Strip District
Pittsburgh, PA 15222",FALSE,"Pittsburgh",4,"Fort Pitt Candy Co",-79.9861731,"PA",4,40.4493873,"No Record","No Record","No Record","No Record","No Record","No Record","No Record","2","No Record","No Record","No Record","No Record","No Record","No Record"
"457","dHDi4wCcjsOR6vcZ8oOIoA","1241 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",110,"Sushi Kim Restaurant",-79.9916741,"PA",3,40.4464777,"TRUE","quiet","FALSE","FALSE","FALSE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"462","41CXLCeB8z2oNdIOvnrzIA","100 Waterfront Dr
Pittsburgh, PA 15222",TRUE,"Pittsburgh",68,"Redfin Blues",-79.9776298,"PA",2.5,40.4634021,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","No Record","dinner","casual","Can parking","No Record"
"465","YKQ09HGeV3_oiKp8NK7Zqg","1808 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",5,"Kim DO Oriental Grocery",-79.9844821,"PA",3.5,40.4504428,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","Can parking","No Record"
"467","OhwF2JDqlYMZl5Rp3WRBog","604 Wood St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",3,"Arby's",-79.9990003,"PA",1.5,40.4421708,"TRUE","No Record","FALSE","No Record","FALSE","casual","TRUE","1","No Record","No Record","Not Mentioned","No Record","No parking","No Record"
"468","l2gPB9mqiHSbpwSUa7zrjg","139 7th St
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",16,"F. Tambellini Ristorante",-80.000162,"PA",2,40.443577,"TRUE","average","FALSE","No Record","FALSE","casual","TRUE","2","No Record","No Record","Not Mentioned","Not Mentioned","Can parking","No Record"
"470","gfpl_GyyY5uj6zJnIdzImQ","120 5th Ave
Ste 2
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",10,"Caffe Amante",-80.003107,"PA",3.5,40.442228,"TRUE","average","FALSE","TRUE","FALSE","dressy","TRUE","2","No Record","No Record","Not Mentioned","Not Mentioned","No parking","No Record"
"473","l-OmDgEd4QkZpyXVpkp2yA","628 Smithfield St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",26,"Villa Reale Pizzeria & Restaurant",-79.996955,"PA",3,40.4421419,"TRUE","loud","TRUE","TRUE","FALSE","casual","TRUE","2","No Record","no","lunch","divey","Can parking","No Record"
"475","0FgwBx7pgmNdUtsd_T8UYQ","6 PPG Pl
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",77,"Ruths Chris Steak House",-80.0038037,"PA",4,40.4394267,"TRUE","average","FALSE","TRUE","FALSE","dressy","TRUE","4","No Record","no","dinner","upscale","Can parking","No Record"
"479","SzHTdZR3yY1WBYUxkVxmUQ","212 Blvd of the Allies
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",18,"Papa J's Centro",-80.0032374,"PA",3,40.4389116,"TRUE","very_loud","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","No Record","lunch","Not Mentioned","No parking","No Record"
"481","WzQrtfz7DSQEv2CK82zhcg","965 Liberty Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",11,"Images Bar",-79.9957155,"PA",3.5,40.4437866,"No Record","average","No Record","TRUE","FALSE","No Record","TRUE","1","yes","No Record","No Record","casual","Can parking","dj"
"482","gFT2yXDXJ1qfuGOSfSU5Bw","2101 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",61,"Mon Aimee Chocolat",-79.9831293,"PA",3.5,40.4519376,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","Can parking","No Record"
"483","cg8b1FGcl-Sytfa8UlCcjg","3 Ppg Pl
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",6,"Einstein Bagels",-80.0026889,"PA",4,40.440125,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","No parking","No Record"
"484","UQSGL98JH8346Uv9B9Ec0g","1809 Penn Ave
Strip District
Pittsburgh, PA 15222",FALSE,"Pittsburgh",16,"Stan's Market",-79.9848259,"PA",3.5,40.4507487,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","Can parking","No Record"
"485","kj3qws3WSMgOotUeACSdFA","2801 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",103,"Klavon's Ice Cream Parlor",-79.9756514,"PA",4,40.4570498,"TRUE","No Record","FALSE","No Record","No Record","No Record","TRUE","1","No Record","no","No Record","No Record","Can parking","No Record"
"489","xgcZN3F2f9LxLASQK_xzhw","2840 Smallman St
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",26,"Smallman Street Deli",-79.97509,"PA",4,40.4582377,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","1","No Record","No Record","lunch","casual","Can parking","No Record"
"490","_aGVicux2dJm9sqzLSCJtg","703 Liberty Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",3,"Subway",-79.9997098,"PA",3.5,40.4427514,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","No Record","Not Mentioned","No Record","No Record","No Record"
"493","uUorjstNslr3gkIsVGtQAg","630 Stanwix St
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",13,"Max & Erma's Restaurants",-80.0042813,"PA",3,40.4431765,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","no","lunch, dinner","casual","Can parking","No Record"
"494","GSiHJG8LqTn5ZQAY1r9q9w","957 Liberty Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",8,"Liang's Hunan Restaurant",-79.9961509,"PA",1.5,40.4434132,"TRUE","quiet","TRUE","No Record","FALSE","casual","No Record","1","No Record","No Record","Not Mentioned","No Record","No Record","No Record"
"495","0Lsd35rHY6UtPFHjjxJ1LA","24 Market Sq
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",7,"1902 Tavern",-80.0031108,"PA",2.5,40.441207,"No Record","No Record","FALSE","No Record","TRUE","casual","TRUE","3","No Record","No Record","Not Mentioned","No Record","No parking","No Record"
"497","Bza-l75OiKcMRmTYILpyfQ","626 Smithfield St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",22,"Wiener World",-79.997135407783,"PA",3.5,40.442234451829,"TRUE","average","FALSE","FALSE","FALSE","casual","FALSE","1","No Record","no","lunch","Not Mentioned","No parking","No Record"
"498","-TSFapUMwdyyxoi2egkOhw","420 Smithfield St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",8,"Sammy's Famous Corned Beef",-79.9989485,"PA",2.5,40.439202,"TRUE","loud","FALSE","TRUE","FALSE","casual","TRUE","1","No Record","No Record","No Record","Not Mentioned","Can parking","No Record"
"500","-nfzEVOVvmDSFbxvBsllGQ","949 Liberty Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",29,"Mahoney's Restaurant",-79.9963285,"PA",2.5,40.4436238,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","no","lunch","casual","Can parking","No Record"
"501","HmG9zkBtRwttGE291q9b6g","2005 Penn Ave
Strip District
Pittsburgh, PA 15222",FALSE,"Pittsburgh",12,"Fortunes Coffee Roastery",-79.983917,"PA",4,40.4514312,"No Record","No Record","No Record","No Record","TRUE","No Record","TRUE","2","No Record","No Record","No Record","No Record","Can parking","No Record"
"505","1E53rS8afK2jiLod8Jwy7A","525 Penn Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",24,"Fu Lai Chinese Restaurant",-80.0031124,"PA",2.5,40.4428479,"TRUE","quiet","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","no","Not Mentioned","Not Mentioned","Can parking","No Record"
"506","j0uzPYXgu-hmkvuGnj-B1w","923 Penn Ave
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",5,"Mark's Grille & Catering",-79.997341,"PA",3.5,40.444221,"No Record","No Record","FALSE","No Record","FALSE","casual","TRUE","1","No Record","No Record","Not Mentioned","No Record","No parking","No Record"
"507","tyXvO1G2qK3MUfaap30auw","2020 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",24,"Stamoolis Brothers Company",-79.9833014,"PA",4.5,40.4512257,"FALSE","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","Can parking","No Record"
"510","niW0ggRVPW5fafcfImdK7w","2010-12 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",151,"Pennsylvania Macaroni Co",-79.9834072,"PA",4.5,40.4512014,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","Not Mentioned","No Record","Can parking","No Record"
"511","_eg_Ke9aGAUX7DCSG_A27g","2112 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",3,"Jade 99 Asian Supermarket",-79.982434,"PA",3.5,40.451847,"TRUE","No Record","No Record","No Record","No Record","No Record","No Record","2","No Record","No Record","No Record","No Record","No parking","No Record"
"515","AH1PrZQDIdjpKgy1z8XxUg","400 Smithfield St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",26,"Zorba's Gyros",-79.9994904,"PA",3.5,40.4387143,"TRUE","loud","FALSE","FALSE","FALSE","casual","FALSE","1","No Record","no","lunch","divey","Can parking","No Record"
"516","TASUnYvk_nvTUyKtroCJSA","1719 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",58,"Prestogeorge Coffee & Tea",-79.98572,"PA",4.5,40.450211,"TRUE","quiet","TRUE","FALSE","TRUE","casual","TRUE","2","No Record","no","No Record","Not Mentioned","Can parking","No Record"
"517","XmdTkxKyJd7TuDLoiic1kg","1400 Smallman St
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",317,"Lidia's",-79.9894086,"PA",3.5,40.4484631,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","2","No Record","no","dinner","classy","Can parking","No Record"
"518","HDTv_rnmSL8AQ04_zTWARA","1400 Smallman St
Strip District
Pittsburgh, PA 15222",FALSE,"Pittsburgh",6,"Sports Rock Cafe",-79.9894086,"PA",2,40.4484631,"TRUE","No Record","FALSE","No Record","TRUE","casual","TRUE","2","No Record","No Record","lunch","No Record","Can parking","No Record"
"519","nBl_NeArpL08MpoghDiA_A","219 4th Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",82,"Ephesus Mediterranean Kitchen",-80.0028862631704,"PA",3.5,40.4398391118939,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","2","No Record","no","lunch, dinner","divey","Can parking","No Record"
"520","J011r7mUV1QhgLJ7GkrtMw","1721 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",45,"Peppi's",-79.985665,"PA",4,40.450237,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","no","lunch","divey","Can parking","No Record"
"524","-KQ283hJkBO12u8XOrlCcQ","20 Market Sq
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",99,"Original Oyster House",-80.0019815,"PA",3,40.4410134,"TRUE","average","FALSE","TRUE","TRUE","casual","FALSE","1","No Record","no","lunch","divey","Can parking","No Record"
"525","SvoJ3Y3uqDfB4iGUaWXh8Q","823 Penn Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",40,"Pizza Parma",-79.9985899,"PA",3,40.44389,"TRUE","average","TRUE","TRUE","FALSE","casual","TRUE","1","No Record","no","lunch","casual","Can parking","No Record"
"526","6xEl2PDJulIp1PfWqa7-aA","2329 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",33,"Mullaneys Harp and Fiddle",-79.9809286,"PA",3.5,40.4534271,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","free","dinner","casual","Can parking","No Music"
"527","GHfBR9yVXkLeKgobH52Jiw","210 6th Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",9,"Starbucks",-80.0016406431143,"PA",4,40.4421081993863,"No Record","No Record","No Record","No Record","FALSE","No Record","TRUE","2","No Record","free","No Record","No Record","Can parking","No Record"
"528","GQloL8yRHymE0SGZq-B0zQ","2120 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",12,"My Ngoc Restaurant",-79.9824216,"PA",3,40.4519288,"TRUE","No Record","No Record","No Record","FALSE","casual","TRUE","1","No Record","No Record","lunch","No Record","Can parking","No Record"
"530","Lm_mR5xDF91OeZw97ch41g","124 6th St
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",29,"The Lemon Grass Cafe",-80.0026232,"PA",2.5,40.4432622,"TRUE","quiet","FALSE","FALSE","TRUE","casual","TRUE","2","No Record","No Record","lunch, dinner","Not Mentioned","Can parking","No Record"
"531","aj4XHn7jZ48euP4g8ape-Q","10 Market St
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",8,"San Remo Pizza",-80.0043039,"PA",3.5,40.4380683,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","1","No Record","No Record","lunch","Not Mentioned","No Record","No Record"
"532","-v31BEquLxeVPgvFHburUQ","222 1st St
Aspinwall
Aspinwall, PA 15215",TRUE,"Aspinwall",9,"Casa Del Sole Pizza",-79.9040162,"PA",3.5,40.4905179,"TRUE","No Record","TRUE","TRUE","FALSE","casual","TRUE","2","No Record","No Record","Not Mentioned","Not Mentioned","Can parking","No Record"
